ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a1_haux_gru_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [91/800] f104_crm_eval_group_0090 B z -13.271 (pess -12.907) -> G abstain | valid 17/17 | 2.58s (cem 0.35 refine 2.16 [60 steps] finals 0.05)
  [92/800] f104_crm_eval_group_0091 B z -12.554 (pess -12.193) -> G z -13.031 (pess -12.706) gain 0.514 from round0/anchor step 56 | valid 17/17 | 2.60s (cem 0.36 refine 2.18 [60 steps] finals 0.05)
  [93/800] f104_crm_eval_group_0092 B z -11.194 (pess -9.684) -> G z -12.323 (pess -11.545) gain 1.861 from B/sample step 45 | valid 17/17 | 2.52s (cem 0.35 refine 2.11 [60 steps] finals 0.05)
  [94/800] f104_crm_eval_group_0093 B z -12.828 (pess -11.633) -> G z -13.347 (pess -13.191) gain 1.558 from round0/sample step 60 | valid 17/17 | 2.61s (cem 0.36 refine 2.19 [60 steps] finals 0.05)
  [95/800] f104_crm_eval_group_0094 B z -13.474 (pess -13.075) -> G z -13.567 (pess -13.443) gain 0.368 from round0/sample step 48 | valid 17/17 | 2.62s (cem 0.35 refine 2.20 [60 steps] finals 0.05)
  [96/800] f104_crm_eval_group_0095 B z -12.803 (pess -11.573) -> G z -13.196 (pess -13.090) gain 1.518 from round0/sample step 43 | valid 17/17 | 2.57s (cem 0.36 refine 2.16 [60 steps] finals 0.05)
  [97/800] f104_crm_eval_group_0096 B z -13.638 (pess -13.538) -> G abstain | valid 17/17 | 2.60s (cem 0.36 refine 2.18 [60 steps] finals 0.05)
  [98/800] f104_crm_eval_group_0097 B z -13.164 (pess -12.889) -> G z -13.553 (pess -13.423) gain 0.535 from B/sample step 49 | valid 17/17 | 2.59s (cem 0.35 refine 2.17 [60 steps] finals 0.06)
  [99/800] f104_crm_eval_group_0098 B z -12.189 (pess -11.815) -> G z -12.563 (pess -12.153) gain 0.339 from round0/sample step 56 | valid 17/17 | 2.61s (cem 0.35 refine 2.19 [60 steps] finals 0.06)
  [100/800] f104_crm_eval_group_0099 B z -13.004 (pess -12.359) -> G z -13.336 (pess -13.209) gain 0.852 from round0/sample step 44 | valid 17/17 | 2.59s (cem 0.35 refine 2.18 [60 steps] finals 0.05)
  [101/800] f104_crm_eval_group_0100 B z -13.463 (pess -13.363) -> G abstain | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [102/800] f104_crm_eval_group_0101 B z -13.489 (pess -13.262) -> G abstain | valid 17/17 | 2.57s (cem 0.35 refine 2.16 [60 steps] finals 0.05)
  [103/800] f104_crm_eval_group_0102 B z -13.332 (pess -12.967) -> G z -13.485 (pess -13.420) gain 0.453 from B/mean step 50 | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [104/800] f104_crm_eval_group_0103 B z -13.667 (pess -13.544) -> G abstain | valid 17/17 | 2.59s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [105/800] f104_crm_eval_group_0104 B z -13.277 (pess -12.964) -> G abstain | valid 17/17 | 2.60s (cem 0.36 refine 2.17 [60 steps] finals 0.05)
  [106/800] f104_crm_eval_group_0105 B z -13.528 (pess -13.313) -> G abstain | valid 17/17 | 2.57s (cem 0.35 refine 2.16 [60 steps] finals 0.05)
  [107/800] f104_crm_eval_group_0106 B z -13.573 (pess -13.316) -> G abstain | valid 17/17 | 2.58s (cem 0.35 refine 2.16 [60 steps] finals 0.06)
  [108/800] f104_crm_eval_group_0107 B z -13.536 (pess -13.218) -> G abstain | valid 17/17 | 2.59s (cem 0.35 refine 2.18 [60 steps] finals 0.05)
  [109/800] f104_crm_eval_group_0108 B z -13.538 (pess -13.413) -> G abstain | valid 17/17 | 2.61s (cem 0.38 refine 2.17 [60 steps] finals 0.06)
  [110/800] f104_crm_eval_group_0109 B z -13.220 (pess -12.978) -> G abstain | valid 17/17 | 2.54s (cem 0.35 refine 2.12 [60 steps] finals 0.05)
  [111/800] f104_crm_eval_group_0110 B z -13.034 (pess -12.020) -> G z -13.118 (pess -12.970) gain 0.949 from round0/anchor step 35 | valid 17/17 | 2.60s (cem 0.36 refine 2.17 [60 steps] finals 0.05)
  [112/800] f104_crm_eval_group_0111 B z -13.142 (pess -12.046) -> G z -13.213 (pess -12.835) gain 0.788 from round0/sample step 59 | valid 17/17 | 2.58s (cem 0.36 refine 2.16 [60 steps] finals 0.05)
  [113/800] f104_crm_eval_group_0112 B z -13.527 (pess -13.320) -> G abstain | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [114/800] f104_crm_eval_group_0113 B z -12.972 (pess -12.464) -> G z -13.394 (pess -13.222) gain 0.758 from round0/sample step 60 | valid 17/17 | 2.59s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [115/800] f104_crm_eval_group_0114 B z -12.492 (pess -10.734) -> G z -13.129 (pess -12.704) gain 1.972 from round0/anchor step 58 | valid 17/17 | 2.58s (cem 0.34 refine 2.18 [60 steps] finals 0.05)
  [116/800] f104_crm_eval_group_0115 B z -13.464 (pess -13.205) -> G z -13.634 (pess -13.538) gain 0.332 from round0/sample step 54 | valid 17/17 | 2.60s (cem 0.36 refine 2.18 [60 steps] finals 0.05)
  [117/800] f104_crm_eval_group_0116 B z -13.326 (pess -12.844) -> G z -13.420 (pess -13.171) gain 0.326 from B/sample step 8 | valid 17/17 | 2.59s (cem 0.34 refine 2.18 [60 steps] finals 0.05)
  [118/800] f104_crm_eval_group_0117 B z -13.330 (pess -12.598) -> G z -13.407 (pess -13.046) gain 0.449 from B/sample step 14 | valid 17/17 | 2.62s (cem 0.35 refine 2.21 [60 steps] finals 0.04)
  [119/800] f104_crm_eval_group_0118 B z -13.465 (pess -13.150) -> G abstain | valid 17/17 | 2.59s (cem 0.37 refine 2.16 [60 steps] finals 0.05)
  [120/800] f104_crm_eval_group_0119 B z -12.988 (pess -12.331) -> G z -13.353 (pess -13.056) gain 0.726 from B/sample step 26 | valid 17/17 | 2.60s (cem 0.35 refine 2.18 [60 steps] finals 0.05)
  [121/800] f104_crm_eval_group_0120 B z -13.424 (pess -12.982) -> G z -13.465 (pess -13.370) gain 0.387 from round0/anchor step 58 | valid 17/17 | 2.61s (cem 0.36 refine 2.19 [60 steps] finals 0.05)
  [122/800] f104_crm_eval_group_0121 B z -13.314 (pess -12.918) -> G z -13.433 (pess -13.266) gain 0.348 from B/sample step 20 | valid 17/17 | 2.63s (cem 0.35 refine 2.21 [60 steps] finals 0.05)
