ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a3_haux_txjoint_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [85/800] f104_crm_eval_group_0084 B z -6.524 (pess -5.650) -> G z -7.471 (pess -6.959) gain 1.309 from B/mean step 41 | valid 17/17 | 3.41s (cem 0.37 refine 2.98 [60 steps] finals 0.05)
  [86/800] f104_crm_eval_group_0085 B z -7.973 (pess -7.595) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.99 [60 steps] finals 0.05)
  [87/800] f104_crm_eval_group_0086 B z -8.109 (pess -7.834) -> G abstain | valid 17/17 | 3.40s (cem 0.35 refine 2.99 [60 steps] finals 0.05)
  [88/800] f104_crm_eval_group_0087 B z -8.071 (pess -7.781) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
  [89/800] f104_crm_eval_group_0088 B z -8.211 (pess -7.886) -> G abstain | valid 17/17 | 3.39s (cem 0.36 refine 2.97 [60 steps] finals 0.05)
  [90/800] f104_crm_eval_group_0089 B z -8.195 (pess -7.881) -> G abstain | valid 17/17 | 3.38s (cem 0.35 refine 2.97 [60 steps] finals 0.05)
  [91/800] f104_crm_eval_group_0090 B z -8.166 (pess -7.947) -> G abstain | valid 17/17 | 3.39s (cem 0.36 refine 2.97 [60 steps] finals 0.05)
  [92/800] f104_crm_eval_group_0091 B z -8.103 (pess -7.800) -> G abstain | valid 17/17 | 3.38s (cem 0.37 refine 2.96 [60 steps] finals 0.05)
  [93/800] f104_crm_eval_group_0092 B z -7.189 (pess -6.602) -> G z -7.532 (pess -7.136) gain 0.534 from round0/sample step 60 | valid 17/17 | 3.39s (cem 0.36 refine 2.97 [60 steps] finals 0.05)
  [94/800] f104_crm_eval_group_0093 B z -7.710 (pess -7.246) -> G abstain | valid 17/17 | 3.47s (cem 0.36 refine 3.05 [60 steps] finals 0.05)
  [95/800] f104_crm_eval_group_0094 B z -8.146 (pess -7.905) -> G abstain | valid 17/17 | 3.42s (cem 0.36 refine 2.99 [60 steps] finals 0.05)
  [96/800] f104_crm_eval_group_0095 B z -7.824 (pess -7.346) -> G z -8.117 (pess -7.794) gain 0.444 from round0/anchor step 60 | valid 17/17 | 3.38s (cem 0.37 refine 2.95 [60 steps] finals 0.05)
  [97/800] f104_crm_eval_group_0096 B z -8.125 (pess -7.863) -> G abstain | valid 17/17 | 3.41s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
  [98/800] f104_crm_eval_group_0097 B z -8.159 (pess -7.815) -> G abstain | valid 17/17 | 3.43s (cem 0.36 refine 3.02 [60 steps] finals 0.05)
  [99/800] f104_crm_eval_group_0098 B z -7.906 (pess -7.266) -> G z -8.133 (pess -7.724) gain 0.458 from B/mean step 49 | valid 17/17 | 3.45s (cem 0.36 refine 3.03 [60 steps] finals 0.05)
  [100/800] f104_crm_eval_group_0099 B z -8.201 (pess -7.929) -> G abstain | valid 17/17 | 3.40s (cem 0.35 refine 2.99 [60 steps] finals 0.05)
  [101/800] f104_crm_eval_group_0100 B z -8.230 (pess -7.894) -> G abstain | valid 17/17 | 3.39s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
  [102/800] f104_crm_eval_group_0101 B z -8.166 (pess -7.812) -> G abstain | valid 17/17 | 3.39s (cem 0.35 refine 2.98 [60 steps] finals 0.05)
  [103/800] f104_crm_eval_group_0102 B z -8.169 (pess -7.785) -> G abstain | valid 17/17 | 3.41s (cem 0.36 refine 2.99 [60 steps] finals 0.05)
  [104/800] f104_crm_eval_group_0103 B z -8.248 (pess -7.926) -> G abstain | valid 17/17 | 3.45s (cem 0.36 refine 3.04 [60 steps] finals 0.05)
  [105/800] f104_crm_eval_group_0104 B z -8.115 (pess -7.818) -> G abstain | valid 17/17 | 3.43s (cem 0.38 refine 2.99 [60 steps] finals 0.05)
  [106/800] f104_crm_eval_group_0105 B z -8.073 (pess -7.888) -> G abstain | valid 17/17 | 3.47s (cem 0.37 refine 3.03 [60 steps] finals 0.05)
  [107/800] f104_crm_eval_group_0106 B z -8.198 (pess -7.899) -> G abstain | valid 17/17 | 3.45s (cem 0.36 refine 3.02 [60 steps] finals 0.05)
  [108/800] f104_crm_eval_group_0107 B z -8.204 (pess -7.905) -> G abstain | valid 17/17 | 3.44s (cem 0.36 refine 3.02 [60 steps] finals 0.05)
  [109/800] f104_crm_eval_group_0108 B z -8.201 (pess -7.930) -> G abstain | valid 17/17 | 3.37s (cem 0.39 refine 2.91 [60 steps] finals 0.06)
  [110/800] f104_crm_eval_group_0109 B z -8.040 (pess -7.796) -> G abstain | valid 17/17 | 3.72s (cem 0.37 refine 3.29 [60 steps] finals 0.05)
  [111/800] f104_crm_eval_group_0110 B z -6.941 (pess -5.496) -> G z -8.082 (pess -7.723) gain 2.228 from round0/sample step 57 | valid 17/17 | 3.79s (cem 0.37 refine 3.36 [60 steps] finals 0.05)
  [112/800] f104_crm_eval_group_0111 B z -8.138 (pess -7.769) -> G abstain | valid 17/17 | 3.71s (cem 0.40 refine 3.25 [60 steps] finals 0.05)
  [113/800] f104_crm_eval_group_0112 B z -8.188 (pess -7.953) -> G abstain | valid 17/17 | 3.41s (cem 0.38 refine 2.97 [60 steps] finals 0.05)
